                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9107,                 3.1238,                 1.9069,                0.32881,                0.18888,                0.16585,                0.06084,                 1.9881,                 3.7893,                 2.1173,             0.00054928,             0.00054928,             0.00054928
                      2,                 1.8479,                 2.7167,                 1.8582,                  0.162,                0.28171,                0.09308,                0.03147,                 2.4721,                 6.0436,                 2.6263,               0.001094,               0.001094,               0.001094
                      3,                 1.8913,                  2.501,                 1.8814,                0.19687,                0.30297,                0.13378,                0.04515,                  2.234,                 5.8154,                 2.3699,              0.0016277,              0.0016277,              0.0016277
                      4,                 1.8918,                 2.3331,                 1.8471,                0.35829,                  0.461,                 0.3379,                0.12837,                 2.0105,                 2.6473,                 2.1277,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.8792,                 2.2234,                 1.8334,                0.34263,                0.48337,                0.33244,                0.13289,                 1.9192,                 2.4656,                 2.0076,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.8019,                 2.0399,                 1.7695,                0.45039,                 0.5215,                0.46385,                0.20722,                 1.8396,                 1.9833,                 1.9276,               0.001601,               0.001601,               0.001601
                      7,                 1.7813,                 1.9536,                  1.766,                  0.448,                0.49858,                0.46245,                0.20401,                 1.8142,                 2.0389,                  1.911,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.7477,                 1.9309,                 1.7422,                 0.5193,                0.52467,                0.53054,                0.24137,                 1.7358,                 2.6959,                  1.847,               0.001568,               0.001568,               0.001568
                      9,                 1.7018,                 1.8676,                 1.7118,                0.42413,                0.58593,                0.47761,                0.21854,                 1.7044,                 2.2026,                  1.812,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.6803,                 1.8132,                 1.6842,                0.68203,                0.66148,                0.72638,                 0.3357,                 1.6103,                 1.6276,                 1.7129,               0.001535,               0.001535,               0.001535
                     11,                 1.6627,                 1.7541,                 1.6698,                0.59059,                0.57482,                0.60491,                0.27835,                 1.6958,                 1.6199,                 1.8004,              0.0015185,              0.0015185,              0.0015185
                     12,                   1.62,                 1.6802,                 1.6334,                0.73402,                0.72963,                0.76959,                0.38161,                 1.5501,                 1.3518,                 1.6608,               0.001502,               0.001502,               0.001502
                     13,                 1.6162,                 1.6989,                 1.6354,                0.75342,                0.67797,                0.77043,                0.38058,                 1.5815,                 1.2953,                 1.6935,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.6159,                 1.6228,                 1.6173,                0.73205,                0.72132,                0.78703,                0.40237,                 1.5148,                 1.5492,                 1.5996,               0.001469,               0.001469,               0.001469
                     15,                 1.5822,                 1.6381,                 1.6086,                0.71886,                0.72687,                 0.7533,                0.39576,                 1.5382,                  1.344,                 1.6093,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.5597,                 1.5726,                 1.5699,                0.76575,                 0.6238,                0.73456,                 0.3792,                 1.5848,                 1.4673,                 1.6625,               0.001436,               0.001436,               0.001436
                     17,                 1.5744,                 1.5595,                 1.5916,                0.76752,                 0.7398,                0.81088,                0.41435,                 1.5456,                 1.2898,                 1.6354,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.5365,                 1.5207,                 1.5561,                0.76808,                0.73674,                 0.8132,                  0.435,                 1.4346,                 1.2894,                 1.5444,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.5174,                 1.5212,                 1.5495,                0.73773,                0.74876,                0.80985,                0.43596,                 1.4044,                 1.2677,                 1.5372,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.5099,                 1.4893,                 1.5332,                0.76826,                0.78382,                0.83563,                0.43941,                 1.4034,                 1.2014,                 1.5141,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.4976,                 1.4764,                 1.5294,                0.83047,                0.78987,                0.86931,                0.48502,                 1.3978,                  1.152,                 1.4985,              0.0013534,              0.0013534,              0.0013534
                     22,                  1.456,                 1.4595,                 1.5206,                0.81265,                 0.8079,                0.87729,                0.47905,                 1.4058,                 1.1302,                 1.5592,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.4892,                 1.4553,                 1.5312,                0.83773,                0.83477,                0.89547,                0.49344,                 1.4261,                 1.1221,                 1.5153,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.4711,                 1.4331,                 1.5216,                0.79765,                0.79566,                0.86384,                0.47086,                 1.3891,                 1.0788,                 1.4877,              0.0013039,              0.0013039,              0.0013039
